Datetime,Tweet Id,Tweet,Username,Label
2023-03-29 23:54:18+00:00,1641227310878818305,"Potential sanctions against the PSSI may also be decided at a later stage.

Batal jadi tuan rumah FIFA U-20, 
Gagal main di PD U-20
PSSI di sanksi FIFA

Kerugian yang sangat amat besar bagi pembinaan bola Indonesia, reputasi Indonesia, wisata dan ekonomi.
Astagfirullah😭 https://t.co/WzJnMaY5lx",wdtu,1
2023-03-29 23:45:59+00:00,1641225217765969920,"Media Sosial

Pro (27%):
• Minta warganet professional dan kesampingkan kepentingan politis.
• Soroti drawing Pildun U-20 2023 terancam batal.
• Soroti nasib Indonesia yang akan disanksi FIFA akibat polemik Israel.

Kontra (60%) :
• Kedatangan Israel pengkhianatan konstitusi.…",ismailfahmi,1
2023-03-29 23:25:49+00:00,1641220144021270530,"Skenarionya gini
-Argentina gagal lolos Piala Dunia U-20
-Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20
-Argentina jadi tuan rumah gantiin Indonesia
-Argentina main di Piala Dunia U-20
-Argentina juara PD U-20

Artinya apa bang messi?
Fix Kalah ama Bandar (FIFA)
LOL",Rahman12996,1
2023-03-29 22:17:15+00:00,1641202889250189312,"Sangat disayangkan akhirnya Pildun U-20 batal, batal juga Indonesia main.
Siap-siap tunggu sanksi aja lah. Dan semoga FIFA juga tetap  lanjutin komitmen buat perbaiki sepakbola Indonesia.
Bela palestina ya bela lah, tapi ya gak sampek ngancurin diri sendiri juga kan.",FardaniYS,1
2023-03-29 22:09:34+00:00,1641200957097930753,"Batal jadi tuan rumah Piala Dunia U-20, apa yg bisa didapat Indonesia? Bahkan hikmah pun rasanya tak bisa didapat. Sanksi FIFA justru menanti. Israel tetep main, palestina ga otomatis merdeka, Indonesia kehilangan segalanya. 

BREAKING NEWS",2karakterbisa,1
2023-03-29 20:07:47+00:00,1641170308249063426,"Yg gak terima tim israel main siapa?
Gak terima ya mrk gak main, kan sesuai harapan.
@ganjarpranowo @GubernurBALI
https://t.co/YNDhwYxSTU

Indonesia batal jadi tuan rumah Piala Dunia U-20. Ketum PSSI sudah berupaya maksimal melobi FIFA, tapi harus menerima keputusannya.",TimoSu1,1
2023-03-29 19:57:06+00:00,1641167620283023365,"Piala Dunia U-20 2023 di Indonesia Batal, FIFA Belum Tunjuk Negara Pengganti

se more: https://t.co/jOs5A7QZe0",andyzenfire1,1
2023-03-29 18:49:28+00:00,1641150598035931136,"@yourpadawann @TriWahyuYulian1 @dishopra @FaktaSepakbola Kanjuruhan kejadiannya kapan?? Apa setelah itu ada isu2 pildun U-20 batal??? Gak ada!!! Isu baru muncul jelas setelah ada lantang penolakan terhadap satu team tertentu, terus drawing batal!! FIFA jelas menjunjung fair play...",Vermend,1
2023-03-29 18:25:04+00:00,1641144457449062400,"Pildun U-20 batal, Indonesia mungkin di Banned Fifa, Liga 1,2,3 stop scr resmi, beribu2 org mungkin bakal jd pengangguran. Dan setiap kekacauan kek gini pasti ada salah satu Parpol yg ikut andil(Simerah), lalu ada jg Alumni ormas 2#2 (Putih2 Fans Real mdrd) yg iku jg bkin panas.",hryxur,1
2023-03-29 17:05:11+00:00,1641124356352020481,"@idextratime Para manusia tolol, FIFA bilang batal karena kanjuruhan kok yang disalahin politisi

Lagi juga kalo tetep main di wc u-20 kaya udah pasti juara aja",nabiils,1
2023-03-29 16:27:27+00:00,1641114857163440147,"COKKKK ASU INI PIALA DUNIA COK BATAL JADI TUAN RUMAH, kapan lagi cok main di piala dunia ya meskipun U-20 its still piala dunia jadi tuan rumah lagi, tournament ga dibawah FIFA kaya AFF aja dijabanin mulu, sekalinya ini yang lebih jelas malah ditolak, bukan masalah ngelanggar",alanptr_,1
2023-03-29 16:26:56+00:00,1641114728994054144,"Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20, FIFA: Kondisi Tidak Ideal https://t.co/w8SoYcHlH5",luzidiamanda,1
2023-03-29 16:26:00+00:00,1641114493265797123,"@idextratime 1. Israel tetap main di piala dunia U-20
2. Palestina tetap bs main di event2 FIFA
3. Israel-Palestina ttp perang
4. Mimpi anak-anak tim Indonesia U-20 HANCUR krn batal bermain di PD
5. Indonesia kemungkinan dpt sanksi dr FIFA

kalo begini siapa yg rugi sih?",vit_sapipa,1
2023-03-29 16:23:37+00:00,1641113893794906114,"@gibran_tweet @persisofficial kukut wae mas wali, kesempatan buat main piala dunia U20 pupus, selamat yo pak @ganjarpranowo wes kakehan gunem ra mutu
FIFA: Indonesia Batal jadi Tuan Rumah Piala Dunia U-20 https://t.co/NApVFljekd",IjoLandak,1
2023-03-29 15:56:02+00:00,1641106952230178817,"Gapernah semalu ini jdi WNI, pildun u-20 yg itungan hari di cancel FIFA perkara gubernur'nya nolak israel buat dateng. Padahal dubes palestine welcome sama israel dan pelatih bola palestine aja dari israel. Kasian pemain u-20 udh cape2 latihan buat pildun, eh batal gara2 politik.",OwenWakaWaka,1
